"seed","PLci","percolation"
1,2.79876434245366,129166
2,2.99382171226831,93588
3,2.66548984995587,194324
4,2.99558693733451,110628
5,0.0564872021182701,48222
6,2.97352162400706,95580
7,0.0370697263901147,110250
8,0.0706090026478376,25382
9,2.90291262135922,70160
10,0.060017652250662,128309
11,0.0388349514563107,96007
12,3.15887025595763,78302
13,2.81818181818182,113328
14,0.11297440423654,148330
15,2.94439541041483,93168
16,2.82259488084731,217050
17,0.0467784642541924,20358
18,3.00970873786408,85289
19,0.164165931156222,132273
20,0.0944395410414828,86832
21,0.0767872903795234,221802
22,3.13945278022948,62944
23,0.105030891438658,238250
24,0.0423654015887026,162278
25,0.0653133274492498,98135
26,3.59046778464254,6942
27,0.0503089143865843,95000
28,0.0388349514563107,49808
29,0.0609002647837599,38064
30,0.102383053839365,105625
31,2.85789938217123,111867
32,0.0820829655781112,6506
33,3.34333627537511,24871
34,0.0520741394527802,67104
35,0.0767872903795234,0
36,0.0609002647837599,0
37,0.100617828773169,0
38,0.0609002647837599,121440
39,2.68137687555163,142452
40,0.057369814651368,129298
41,2.60458958517211,224784
42,0.089143865842895,229500
43,0.0529567519858782,43947
44,2.94351279788173,86581
45,0.0697263901147396,166620
46,2.72903795233892,193690
47,0.0838481906443072,26796
48,0.10856134157105,30234
49,2.78640776699029,181077
50,2.75816416593116,137425
51,2.86496028243601,101787
52,0.0917917034421889,182558
53,0.127096204766108,3402
54,0.116504854368932,159805
55,3.01500441306267,64638
56,2.8243601059135,170782
57,3,139590
58,0.138570167696381,163744
59,3.08473080317741,92718
60,0.0609002647837599,5650
61,0.0229479258605472,33894
62,2.86142983230362,142675
63,3.41571050308914,36819
64,3.13327449249779,82192
65,3.35216240070609,64957
66,0.0723742277140335,70902
67,0.0635481023830538,56940
68,3.24183583406884,70500
69,0.0688437775816417,158253
70,0.0679611650485437,110088
71,3.06266548984996,63804
72,0.0450132391879965,198792
73,0.0644307149161518,99580
74,0.0750220653133274,104820
75,0.0759046778464254,49808
76,2.61341571050309,191100
77,0.088261253309797,29988
78,3.19152691968226,50589
